,Name,IMDB Rating,Duration,Year,Age,Subtitles Available,Genres,Subtitles
3717,Chauraha,4.0,154 min,1994,13+,,"Action/Adventure: Crime, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",
3718,Jaanwar Aur Insaan,6.9,154 min,1972,All Ages,,"Action/Adventure: Thriller, Bollywood: Action/Adventure, World Cinema: Indian",
3719,Gunahon Ka Faisla,5.8,169 min,1988,18+,,"Action/Adventure: Crime, Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",
3720,The Conjuring 2,7.4,133 min,2016,18+,CC,"Horror, Thriller",
3721,Sliver,4.9,106 min,1993,18+,CC,"Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Drama, Thriller: Mystery",English
3722,Munich (2005),7.6,163 min,2005,18+,CC,"Drama: Crime, Drama: Historical, Drama: Political, Drama: Thriller, Thriller: Drama, Thriller: Political",English [CC]
3723,Dhruvangal Pathinaru,,104 min,2016,13+,CC,"Thriller: Crime, Thriller: Mystery, Thriller: Psychological",English [CC]
3724,Talaash,7.3,138 min,2012,13+,CC,"Bollywood: Thriller, Thriller: Drama, Thriller: Mystery, World Cinema: Indian",English
3725,Murder,5.4,128 min,2004,NR,,"Bollywood: Thriller, Bollywood: Romance, Romance: Thriller, Thriller: Crime, Thriller: Drama, World Cinema: Indian",
3726,No Country for Old Men,8.1,122 min,2007,18+,CC,"Drama: Crime, Drama: Thriller, Thriller: Action/Adventure, Thriller: Crime, Thriller: Drama",English
3727,Exorcist: The Beginning,5.1,113 min,2004,18+,CC,"Horror, Thriller: Mystery, Thriller",English [CC]
3728,Mystic River,8.0,137 min,2003,18+,CC,"Action/Adventure, Drama: Mystery, Drama: Crime, Thriller, Action/Adventure: Crime",
3729,Orphan,7.0,122 min,2009,18+,CC,"Horror: Thriller, Thriller: Horror, Thriller: Mystery",English [CC]
3730,Mission: Impossible III,6.9,125 min,2006,13+,,"Action/Adventure: Espionage & Spies, Thriller: Action/Adventure",
3731,A Perfect Murder,6.5,107 min,1998,18+,CC,"Drama: Crime, Drama: Thriller, Thriller: Crime, Thriller: Drama",English [CC]
3732,John Grisham’s The Rainmaker,7.1,135 min,1997,18+,CC,"Drama, Drama: Crime, Thriller: Drama",
3733,The Prestige,8.5,130 min,2006,13+,CC,"Drama: Crime, Drama: Historical, Drama: Mystery, Drama: Thriller, Thriller: Sci-Fi/Fantasy",
3734,Annabelle (2014),5.4,98 min,2014,18+,CC,"Thriller, Horror",English [CC]
3735,The Hunt for Red October,7.6,135 min,1990,7+,CC,"Action/Adventure: Espionage & Spies, Action/Adventure: Thriller, Drama: Political, Thriller: Action/Adventure",हिन्दी
3736,Poseidon,5.6,98 min,2006,13+,CC,"Action/Adventure: Thriller, Thriller: Action/Adventure","English, English [CC]"
3737,New York,6.8,151 min,2009,13+,,"Bollywood: Thriller, Thriller: Crime, Thriller: Drama, World Cinema: Indian",
3738,The Untouchables,7.9,119 min,1987,18+,CC,"Drama: Crime, Drama: Historical, Drama: Thriller, Thriller: Crime, Thriller: Drama",English [CC]
3739,Murder 3,4.8,123 min,2013,13+,,"Bollywood, Bollywood: Thriller, Thriller, Thriller: Drama, World Cinema: Indian",
3740,Wajah Tum Ho,4.3,130 min,2016,18+,CC,"Bollywood: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery, World Cinema: Indian",English [CC]
3741,Mission: Impossible – Rogue Nation,7.4,131 min,2015,13+,CC,"Action/Adventure: Espionage & Spies, Action/Adventure: Thriller, Thriller: Action/Adventure",हिन्दी
3742,Detective Byomkesh Bakshy,7.7,138 min,2015,16+,CC,"Bollywood, Bollywood: Thriller, Thriller, Thriller: Crime, Thriller: Mystery, World Cinema: Indian",English
3743,Fan,7.3,138 min,2016,13+,CC,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Crime, Thriller: Drama, World Cinema: Indian",English
3744,Collateral,7.6,119 min,2004,18+,CC,"Action/Adventure: Crime, Drama: Crime, Drama: Thriller, Thriller: Drama","English [CC], हिन्दी"
3745,Love Games,4.3,108 min,2016,18+,CC,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Mature, Drama: Thriller, Thriller: Crime, World Cinema: Indian",English [CC]
3746,Rocknrolla,7.3,114 min,2008,18+,CC,"Action/Adventure: Crime, Thriller: Crime",English [CC]
3747,Primal Fear,7.7,130 min,1996,18+,CC,"Drama: Crime, Drama: Mystery, Thriller: Drama",English [CC]
3748,Khawto,6.6,131 min,2016,18+,,"Thriller: Drama, Thriller: Romance, World Cinema: Indian",
3749,Darr@ The Mall,5.0,115 min,2014,13+,,"Bollywood: Horror, Bollywood: Thriller, Horror: Ghosts/Supernatural, Horror: Thriller, Thriller: Horror, World Cinema: Indian",
3750,Into the Storm (2014),5.8,89 min,2014,13+,CC,"Action/Adventure: Thriller, Thriller: Action/Adventure",
3751,The Good Shepherd,6.7,167 min,2006,18+,CC,"Drama: Historical, Drama: Political, Drama: Thriller, Thriller: Drama, Thriller: Political",English [CC]
3752,The Sum of All Fears,6.4,123 min,2002,18+,CC,"Action/Adventure: Espionage & Spies, Action/Adventure: Thriller, Thriller: Action/Adventure","English [CC], हिन्दी"
3753,The Firm,6.8,154 min,1993,18+,CC,"Drama: Mystery, Thriller: Mystery",
3754,Mr.X,3.7,124 min,2015,13+,,"Bollywood: Thriller, Sci-Fi/Fantasy: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Sci-Fi/Fantasy, World Cinema: Indian",
3755,Bhool Bhulaiyaa,7.3,148 min,2007,13+,CC,"Bollywood: Drama, Drama: Bollywood, Drama: Mystery, Thriller: Psychological, World Cinema: Indian",English [CC]
3756,Cloverfield,7.0,84 min,2008,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Horror: Sci-Fi/Fantasy, Sci-Fi/Fantasy, Thriller: Sci-Fi/Fantasy",English
3757,The Final Destination,5.2,81 min,2009,18+,CC,"Horror: Ghosts/Supernatural, Horror: Thriller, Thriller: Horror, Thriller: Supernatural",
3758,1 Nenokkadine,8.4,174 min,2014,13+,,"Thriller, Thriller: Drama, Thriller: Psychological, World Cinema: Indian",
3759,Karthik Calling Karthik,7.0,133 min,2010,NR,,"Bollywood: Thriller, Thriller: Mystery, Thriller: Psychological, World Cinema: Indian",
3760,Har Har Byomkesh,6.7,108 min,2015,13+,,"Thriller, Thriller: Mystery, World Cinema: Indian",
3761,Paycheck (2003),6.3,118 min,2003,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Thriller: Mystery",English
3762,Game,5.1,134 min,2011,NR,,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Mystery, Drama: Thriller, Thriller: Crime, Thriller: Drama, World Cinema: Indian",
3763,Firewall,5.8,104 min,2006,13+,CC,"Action/Adventure, Action/Adventure: Crime, Drama: Crime, Thriller",
3764,Ninja Assassin,6.4,98 min,2009,NR,CC,"Action/Adventure: Crime, Action/Adventure: Martial Arts, Thriller: Action/Adventure","English, English [CC]"
3765,Satyanweshi,6.0,118 min,2013,13+,,"Thriller, Thriller: Mystery, World Cinema: Indian",
3766,Mishawr Rohoshyo,6.2,144 min,2013,All Ages,,"Action/Adventure, Thriller, Thriller: Action/Adventure, World Cinema: Indian",
3767,Darr,7.9,176 min,1993,13+,,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Thriller, Drama: Romance, Thriller: Drama, World Cinema: Indian",
